Fichero,Media,Desviacion,Valor minimo,Valor maximo
guardarVideo.csv,1.4794,0.2236,1.1479,3.2
cruzoMeta.csv,0.1006,0.0111,0.0459,0.175
tiempoEntreFrames.csv,37.8149,7.747,10.3528,91.27
recSector.csv,0.0632,0.0548,0.0068,0.1189
actualizarTracker.csv,21.8247,2.7584,3.1541,42.5591
dibujo.csv,0.362,0.1051,0.1331,0.9211
mostrarFrame.csv,10.0907,1.6653,7.084,15.6331
getSector.csv,0.0434,0.041,0.0061,0.322
readquisicion.csv,39.7161,25.2503,17.6599,72.6218
calculoVuelta.csv,0.0074,0.0006,0.0068,0.0081
procesarFrame.csv,27.1868,7.9595,2.104,97.1499
tiempoLeerFrame.csv,0.531,2.0818,0.2461,21.198
contornoEtiq.csv,2.9943,0.2228,2.5872,5.1272
